GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
september,september.engine.rendering,Camera,97,149,7,1,19,36,5,7,1,7
september,september.engine.rendering,LwjglFacadeImpl,192,0,0,0,85,0,54,0,54,0
september,september.engine.rendering,Camera.ProjectionType,0,15,0,0,0,3,0,1,0,1
september,september.engine.rendering,Texture,10,93,1,1,3,26,2,3,1,3
september,september.engine.rendering,Mesh,0,99,2,2,0,32,2,2,0,2
september,september.game,Main,15,161,0,0,7,31,2,2,2,2
september,september.engine.ecs,ComponentManager,35,59,6,4,9,12,6,6,2,5
september,september.engine.ecs,SystemManager,0,30,0,2,0,8,0,4,0,3
september,september.engine.ecs,World,23,90,2,6,7,22,5,10,3,8
september,september.engine.ecs,EntityManager,7,33,0,0,2,7,1,3,1,3
september,september.engine.systems,RenderSystem,0,82,0,2,0,17,0,3,0,2
september,september.engine.systems,MovementSystem,32,101,5,7,5,20,5,3,0,2
september,september.game.components,EnemyComponent,0,3,0,0,0,1,0,1,0,1
september,september.game.components,GameColliderType,33,0,0,0,6,0,1,0,1,0
september,september.game.components,PlayerComponent,0,3,0,0,0,1,0,1,0,1
september,september.game.components,HealthComponent,41,0,6,0,12,0,8,0,5,0
september,september.engine.core.input,GlfwInputService,35,46,6,2,11,9,8,3,4,3
september,september.engine.core.input,GlfwInputService.new GLFWKeyCallback() {...},16,6,6,0,3,1,4,1,1,1
september,september.engine.core.input,GlfwInputService.new GLFWMouseButtonCallback() {...},16,6,6,0,3,1,4,1,1,1
september,september.engine.core.input,GlfwInputService.new GLFWCursorPosCallback() {...},0,15,0,0,0,4,0,2,0,2
september,september.game.input,GameInputMapping,3,0,0,0,1,0,1,0,1,0
september,september.game.input,KeyboardMappingService,2,73,1,3,1,18,1,4,0,3
september,september.game.input,GameAction,0,45,0,0,0,8,0,1,0,1
september,september.engine.core,Engine,18,288,5,9,6,49,8,8,3,6
september,september.engine.core,GlfwContext,15,37,5,3,5,15,4,2,0,2
september,september.engine.core,SystemTimer,0,41,0,0,0,11,0,4,0,4
september,september.engine.core,WindowContext,51,137,10,4,18,46,8,7,1,7
september,september.engine.core,MainLoopPolicy,95,13,16,2,16,2,17,4,9,3
september,september.game.systems,CollisionSystem,188,0,22,0,31,0,15,0,4,0
september,september.game.systems,EnemyAISystem,0,58,0,2,0,12,0,3,0,2
september,september.game.systems,PlayerInputSystem,0,75,0,2,0,14,0,3,0,2
september,september.engine.ecs.components,MeshComponent,6,0,0,0,1,0,1,0,1,0
september,september.engine.ecs.components,MovementStatsComponent,0,9,0,0,0,4,0,1,0,1
september,september.engine.ecs.components,SpriteComponent,9,15,0,0,4,4,1,1,1,1
september,september.engine.ecs.components,ControllableComponent,0,21,0,0,0,7,0,1,0,1
september,september.engine.ecs.components,TransformComponent,7,59,0,0,2,13,1,3,1,3
september,september.engine.assets,ResourceManager,32,96,1,1,5,21,4,7,3,7
september,september.engine.assets,AssetLoader,51,144,4,10,10,36,4,9,0,6
september,september.engine.rendering.gl,Shader,45,117,5,3,10,35,6,8,2,8
september,september.engine.rendering.gl,OpenGLRenderer,0,62,0,0,0,18,0,4,0,4
september,september.engine.rendering.gl,OpenGLDebugger,91,0,18,0,31,0,17,0,5,0
